transaction_id,date,customer_id,customer_name,product_id,product_name,category,price,merchant_id,merchant_name,distributor_id,distributor_name,commission_percentage
T0032,2025-01-03,C129,Customer_98,P045,Product_31,Clothing,414.19,M043,Merchant_17,D01,Distributor_8,0.007
T0033,2025-01-08,C190,Customer_77,P012,Product_37,Electronics,341.69,M046,Merchant_15,D01,Distributor_5,0.01
T0034,2025-01-27,C192,Customer_197,P038,Product_36,Books,67.4,M036,Merchant_5,D07,Distributor_6,0.008
T0035,2025-01-08,C175,Customer_104,P043,Product_14,Books,157.39,M048,Merchant_22,D10,Distributor_8,0.008
T0036,2025-01-13,C175,Customer_168,P007,Product_48,Clothing,203.09,M041,Merchant_19,D08,Distributor_4,0.007
T0037,2025-01-21,C054,Customer_50,P037,Product_50,Books,26.98,M045,Merchant_11,D09,Distributor_7,0.008
T0038,2025-01-15,C061,Customer_127,P024,Product_36,Furniture,106.3,M042,Merchant_14,D03,Distributor_4,0.01
T0039,2025-01-27,C183,Customer_166,P037,Product_3,Clothing,345.23,M032,Merchant_45,D06,Distributor_9,0.007
T0040,2025-01-23,C101,Customer_70,P016,Product_41,Books,275.87,M020,Merchant_44,D06,Distributor_5,0.008
T0041,2025-01-24,C132,Customer_13,P002,Product_49,Groceries,133.86,M032,Merchant_18,D03,Distributor_5,0.005
T0042,2025-01-24,C194,Customer_57,P011,Product_5,Groceries,440.12,M001,Merchant_19,D07,Distributor_6,0.005
T0043,2025-01-04,C142,Customer_7,P033,Product_11,Clothing,331.81,M004,Merchant_39,D09,Distributor_10,0.007
T0044,2025-01-13,C177,Customer_28,P039,Product_15,Clothing,332.05,M009,Merchant_1,D01,Distributor_2,0.007
T0045,2025-01-04,C084,Customer_112,P047,Product_9,Groceries,108.51,M037,Merchant_6,D07,Distributor_2,0.005
T0046,2025-01-11,C013,Customer_4,P020,Product_20,Groceries,392.27,M016,Merchant_8,D07,Distributor_10,0.005
T0047,2025-01-26,C020,Customer_78,P032,Product_26,Clothing,257.0,M023,Merchant_23,D07,Distributor_9,0.007
T0048,2025-01-03,C032,Customer_118,P042,Product_35,Groceries,383.63,M017,Merchant_17,D01,Distributor_9,0.005
T0049,2025-01-07,C025,Customer_25,P006,Product_28,Furniture,486.69,M010,Merchant_42,D02,Distributor_3,0.01
T0050,2025-01-19,C170,Customer_122,P038,Product_1,Books,473.3,M030,Merchant_36,D06,Distributor_10,0.008
T0051,2025-01-16,C168,Customer_192,P036,Product_17,Clothing,46.43,M028,Merchant_29,D01,Distributor_10,0.007
T0052,2025-01-14,C099,Customer_104,P033,Product_9,Electronics,217.78,M008,Merchant_18,D04,Distributor_3,0.01
T0053,2025-01-08,C069,Customer_135,P042,Product_50,Furniture,243.29,M025,Merchant_48,D04,Distributor_4,0.01
T0054,2025-01-26,C073,Customer_41,P009,Product_48,Books,338.7,M041,Merchant_41,D05,Distributor_9,0.008
T0055,2025-01-22,C064,Customer_17,P004,Product_23,Groceries,494.5,M050,Merchant_38,D06,Distributor_7,0.005
T0056,2025-01-08,C178,Customer_105,P025,Product_17,Electronics,109.25,M020,Merchant_50,D09,Distributor_6,0.01
T0057,2025-01-24,C126,Customer_175,P003,Product_49,Groceries,124.98,M008,Merchant_10,D10,Distributor_3,0.005
T0058,2025-01-10,C062,Customer_121,P012,Product_44,Books,426.03,M049,Merchant_14,D04,Distributor_10,0.008
T0059,2025-01-14,C071,Customer_70,P003,Product_47,Groceries,65.92,M018,Merchant_42,D01,Distributor_4,0.005
T0060,2025-01-18,C096,Customer_184,P048,Product_32,Furniture,17.66,M005,Merchant_20,D07,Distributor_4,0.01
T0061,2025-01-26,C102,Customer_132,P049,Product_8,Electronics,340.17,M041,Merchant_21,D07,Distributor_8,0.01
T0062,2025-01-30,C064,Customer_55,P013,Product_22,Electronics,209.24,M040,Merchant_41,D01,Distributor_3,0.01
T0063,2025-01-11,C172,Customer_86,P004,Product_8,Clothing,293.14,M026,Merchant_44,D08,Distributor_7,0.007
T0064,2025-01-28,C040,Customer_40,P027,Product_17,Electronics,52.11,M040,Merchant_14,D03,Distributor_9,0.01
T0065,2025-01-03,C008,Customer_52,P046,Product_28,Furniture,135.57,M008,Merchant_45,D06,Distributor_9,0.01
T0066,2025-01-01,C009,Customer_147,P011,Product_44,Groceries,320.9,M028,Merchant_33,D03,Distributor_7,0.005
T0067,2025-01-08,C002,Customer_156,P012,Product_14,Furniture,45.37,M045,Merchant_11,D04,Distributor_10,0.01
T0068,2025-01-08,C081,Customer_91,P019,Product_9,Electronics,422.84,M049,Merchant_42,D06,Distributor_4,0.01
T0069,2025-01-15,C169,Customer_157,P021,Product_18,Books,149.19,M044,Merchant_18,D02,Distributor_4,0.008
T0070,2025-01-04,C090,Customer_156,P023,Product_20,Electronics,284.96,M028,Merchant_40,D05,Distributor_1,0.01
T0071,2025-01-05,C059,Customer_32,P037,Product_28,Books,206.46,M028,Merchant_17,D02,Distributor_1,0.008
T0072,2025-01-10,C047,Customer_32,P014,Product_9,Clothing,18.65,M048,Merchant_19,D04,Distributor_6,0.007
T0073,2025-01-26,C020,Customer_11,P011,Product_44,Electronics,168.84,M032,Merchant_24,D03,Distributor_10,0.01
T0074,2025-01-25,C156,Customer_193,P039,Product_12,Electronics,52.17,M032,Merchant_2,D06,Distributor_8,0.01
T0075,2025-01-26,C068,Customer_63,P025,Product_42,Clothing,105.01,M008,Merchant_8,D04,Distributor_7,0.007
T0076,2025-01-03,C196,Customer_51,P036,Product_50,Books,260.18,M049,Merchant_22,D02,Distributor_4,0.008
T0077,2025-01-14,C139,Customer_72,P023,Product_50,Furniture,97.9,M021,Merchant_2,D05,Distributor_9,0.01
T0078,2025-01-21,C014,Customer_130,P031,Product_30,Groceries,364.88,M014,Merchant_21,D03,Distributor_5,0.005
T0079,2025-01-16,C160,Customer_183,P040,Product_15,Furniture,344.79,M034,Merchant_15,D07,Distributor_6,0.01
T0080,2025-01-13,C186,Customer_164,P046,Product_18,Electronics,215.51,M049,Merchant_35,D05,Distributor_9,0.01
T0081,2025-01-28,C023,Customer_145,P001,Product_23,Books,457.25,M046,Merchant_24,D07,Distributor_9,0.008
T0082,2025-01-26,C026,Customer_155,P047,Product_37,Furniture,224.48,M008,Merchant_40,D06,Distributor_9,0.01
T0083,2025-01-23,C074,Customer_92,P028,Product_45,Groceries,171.39,M037,Merchant_13,D06,Distributor_1,0.005
T0084,2025-01-15,C005,Customer_110,P014,Product_29,Books,368.02,M029,Merchant_48,D06,Distributor_4,0.008
T0085,2025-01-07,C085,Customer_146,P036,Product_1,Books,281.63,M020,Merchant_44,D10,Distributor_9,0.008
T0086,2025-01-02,C105,Customer_96,P037,Product_9,Clothing,70.13,M018,Merchant_42,D09,Distributor_5,0.007
T0087,2025-01-27,C195,Customer_45,P021,Product_29,Furniture,267.81,M050,Merchant_25,D07,Distributor_6,0.01
T0088,2025-01-24,C135,Customer_17,P001,Product_44,Furniture,108.23,M047,Merchant_24,D10,Distributor_4,0.01
T0089,2025-01-30,C080,Customer_87,P016,Product_35,Groceries,315.83,M011,Merchant_2,D06,Distributor_10,0.005
T0090,2025-01-11,C188,Customer_95,P037,Product_39,Clothing,455.46,M014,Merchant_40,D01,Distributor_9,0.007
T0091,2025-01-13,C094,Customer_45,P043,Product_13,Electronics,257.73,M045,Merchant_41,D03,Distributor_9,0.01
T0092,2025-01-09,C019,Customer_79,P020,Product_13,Books,346.56,M034,Merchant_33,D09,Distributor_2,0.008
T0093,2025-01-01,C105,Customer_83,P009,Product_13,Clothing,269.59,M038,Merchant_11,D08,Distributor_5,0.007
T0094,2025-01-09,C143,Customer_71,P047,Product_25,Clothing,216.44,M026,Merchant_38,D05,Distributor_7,0.007
T0095,2025-01-15,C074,Customer_152,P022,Product_13,Books,350.05,M032,Merchant_17,D04,Distributor_10,0.008
T0096,2025-01-08,C064,Customer_107,P011,Product_28,Groceries,314.39,M033,Merchant_16,D01,Distributor_5,0.005
T0097,2025-01-30,C171,Customer_67,P030,Product_23,Furniture,75.11,M044,Merchant_9,D03,Distributor_1,0.01
T0098,2025-01-16,C199,Customer_150,P014,Product_24,Clothing,245.61,M048,Merchant_40,D06,Distributor_7,0.007
T0099,2025-01-27,C047,Customer_92,P023,Product_28,Clothing,149.22,M024,Merchant_18,D07,Distributor_2,0.007
T0100,2025-01-23,C182,Customer_162,P037,Product_45,Books,341.65,M008,Merchant_35,D03,Distributor_1,0.008
T0101,2025-01-02,C156,Customer_133,P039,Product_18,Books,437.47,M028,Merchant_45,D01,Distributor_9,0.008
T0102,2025-01-17,C130,Customer_177,P037,Product_47,Electronics,305.93,M013,Merchant_50,D01,Distributor_2,0.01
T0103,2025-01-08,C025,Customer_49,P023,Product_12,Clothing,469.13,M036,Merchant_28,D10,Distributor_10,0.007
T0104,2025-01-12,C115,Customer_118,P004,Product_25,Groceries,148.14,M013,Merchant_15,D09,Distributor_10,0.005
T0105,2025-01-23,C016,Customer_147,P022,Product_34,Furniture,109.76,M049,Merchant_13,D04,Distributor_4,0.01
T0106,2025-01-26,C152,Customer_87,P038,Product_22,Groceries,143.8,M024,Merchant_38,D04,Distributor_9,0.005
T0107,2025-01-25,C062,Customer_75,P045,Product_36,Furniture,373.33,M032,Merchant_39,D04,Distributor_8,0.01
T0108,2025-01-25,C112,Customer_41,P044,Product_33,Groceries,57.41,M047,Merchant_8,D06,Distributor_9,0.005
T0109,2025-01-10,C005,Customer_78,P022,Product_1,Books,193.16,M011,Merchant_32,D07,Distributor_9,0.008
T0110,2025-01-06,C148,Customer_157,P025,Product_19,Clothing,205.25,M039,Merchant_41,D01,Distributor_2,0.007
T0111,2025-01-24,C172,Customer_182,P011,Product_43,Clothing,338.45,M047,Merchant_17,D02,Distributor_8,0.007
T0112,2025-01-17,C071,Customer_65,P028,Product_9,Furniture,173.69,M050,Merchant_29,D06,Distributor_3,0.01
T0113,2025-01-17,C176,Customer_153,P030,Product_42,Groceries,371.34,M037,Merchant_26,D04,Distributor_5,0.005
T0114,2025-01-09,C119,Customer_95,P031,Product_31,Furniture,462.38,M028,Merchant_1,D06,Distributor_4,0.01
T0115,2025-01-29,C087,Customer_153,P006,Product_26,Clothing,182.12,M007,Merchant_37,D04,Distributor_2,0.007
T0116,2025-01-20,C179,Customer_118,P036,Product_50,Clothing,365.0,M047,Merchant_46,D06,Distributor_8,0.007
T0117,2025-01-01,C139,Customer_47,P045,Product_9,Groceries,71.1,M010,Merchant_42,D07,Distributor_10,0.005
T0118,2025-01-19,C130,Customer_51,P017,Product_27,Electronics,22.71,M024,Merchant_48,D08,Distributor_4,0.01
T0119,2025-01-29,C024,Customer_62,P027,Product_50,Groceries,419.76,M048,Merchant_13,D01,Distributor_10,0.005
T0120,2025-01-11,C170,Customer_114,P038,Product_33,Clothing,376.23,M036,Merchant_35,D10,Distributor_1,0.007
T0121,2025-01-15,C012,Customer_161,P026,Product_38,Books,347.75,M037,Merchant_25,D01,Distributor_7,0.008
T0122,2025-01-28,C118,Customer_56,P008,Product_49,Clothing,133.35,M038,Merchant_6,D04,Distributor_5,0.007
T0123,2025-01-28,C175,Customer_128,P032,Product_27,Groceries,461.63,M017,Merchant_8,D01,Distributor_3,0.005
T0124,2025-01-18,C180,Customer_126,P020,Product_50,Clothing,329.93,M021,Merchant_21,D03,Distributor_4,0.007
T0125,2025-01-24,C145,Customer_166,P038,Product_29,Groceries,468.32,M017,Merchant_48,D04,Distributor_8,0.005
T0126,2025-01-13,C137,Customer_164,P048,Product_21,Clothing,369.12,M019,Merchant_50,D03,Distributor_5,0.007
T0127,2025-01-25,C131,Customer_164,P038,Product_34,Books,424.06,M049,Merchant_30,D05,Distributor_3,0.008
T0128,2025-01-06,C172,Customer_55,P014,Product_9,Books,315.89,M023,Merchant_8,D06,Distributor_2,0.008
T0129,2025-01-09,C011,Customer_158,P023,Product_50,Groceries,64.11,M030,Merchant_48,D05,Distributor_6,0.005
T0130,2025-01-19,C100,Customer_57,P006,Product_27,Furniture,479.24,M033,Merchant_19,D10,Distributor_10,0.01
T0131,2025-01-28,C099,Customer_145,P001,Product_2,Groceries,229.7,M040,Merchant_45,D10,Distributor_10,0.005
T0132,2025-01-24,C094,Customer_34,P001,Product_2,Groceries,360.39,M017,Merchant_3,D02,Distributor_8,0.005
T0133,2025-01-31,C042,Customer_78,P035,Product_19,Furniture,144.21,M025,Merchant_26,D09,Distributor_9,0.01
T0134,2025-01-01,C029,Customer_155,P025,Product_19,Furniture,232.99,M024,Merchant_26,D09,Distributor_4,0.01
T0135,2025-01-15,C115,Customer_194,P026,Product_49,Furniture,335.12,M027,Merchant_42,D03,Distributor_1,0.01
T0136,2025-01-22,C010,Customer_83,P044,Product_7,Books,475.6,M015,Merchant_7,D02,Distributor_6,0.008
T0137,2025-01-20,C187,Customer_47,P045,Product_6,Clothing,248.43,M032,Merchant_42,D01,Distributor_6,0.007
T0138,2025-01-29,C049,Customer_89,P003,Product_14,Books,338.98,M030,Merchant_33,D05,Distributor_8,0.008
T0139,2025-01-01,C045,Customer_126,P031,Product_24,Books,430.63,M037,Merchant_46,D03,Distributor_6,0.008
T0140,2025-01-10,C189,Customer_134,P002,Product_30,Books,488.98,M040,Merchant_50,D05,Distributor_9,0.008
T0141,2025-01-26,C121,Customer_126,P041,Product_8,Furniture,449.69,M006,Merchant_3,D09,Distributor_2,0.01
T0142,2025-01-03,C061,Customer_47,P025,Product_43,Electronics,475.97,M037,Merchant_18,D02,Distributor_4,0.01
T0143,2025-01-19,C033,Customer_28,P042,Product_33,Clothing,18.19,M011,Merchant_5,D04,Distributor_4,0.007
T0144,2025-01-19,C042,Customer_13,P043,Product_23,Books,255.96,M030,Merchant_40,D09,Distributor_6,0.008
T0145,2025-01-22,C027,Customer_85,P031,Product_37,Furniture,201.23,M002,Merchant_19,D04,Distributor_9,0.01
T0146,2025-01-08,C116,Customer_12,P049,Product_40,Clothing,373.83,M048,Merchant_19,D05,Distributor_1,0.007
T0147,2025-01-13,C104,Customer_135,P013,Product_28,Electronics,298.66,M039,Merchant_4,D07,Distributor_1,0.01
T0148,2025-01-13,C078,Customer_64,P023,Product_24,Books,468.12,M030,Merchant_22,D06,Distributor_9,0.008
T0149,2025-01-18,C002,Customer_80,P033,Product_49,Books,293.47,M002,Merchant_19,D01,Distributor_6,0.008
T0150,2025-01-12,C106,Customer_31,P001,Product_25,Groceries,270.79,M037,Merchant_37,D03,Distributor_6,0.005
T0151,2025-01-30,C141,Customer_58,P034,Product_14,Furniture,62.99,M018,Merchant_23,D07,Distributor_7,0.01
T0152,2025-01-29,C010,Customer_75,P019,Product_2,Books,89.56,M037,Merchant_27,D07,Distributor_8,0.008
T0153,2025-01-11,C075,Customer_183,P011,Product_21,Groceries,180.29,M001,Merchant_35,D05,Distributor_2,0.005
T0154,2025-01-04,C194,Customer_3,P016,Product_4,Electronics,300.42,M050,Merchant_45,D10,Distributor_5,0.01
T0155,2025-01-26,C181,Customer_180,P006,Product_20,Groceries,434.47,M013,Merchant_35,D05,Distributor_2,0.005
T0156,2025-01-02,C002,Customer_105,P016,Product_2,Books,234.77,M001,Merchant_3,D04,Distributor_10,0.008
T0157,2025-01-08,C055,Customer_2,P050,Product_43,Electronics,236.87,M006,Merchant_2,D10,Distributor_8,0.01
T0158,2025-01-20,C167,Customer_45,P047,Product_16,Groceries,327.24,M005,Merchant_22,D03,Distributor_1,0.005
T0159,2025-01-25,C163,Customer_25,P012,Product_40,Books,84.58,M032,Merchant_43,D10,Distributor_4,0.008
T0160,2025-01-05,C154,Customer_111,P041,Product_2,Furniture,243.18,M018,Merchant_16,D03,Distributor_6,0.01
T0161,2025-01-14,C148,Customer_28,P018,Product_17,Groceries,300.42,M047,Merchant_30,D04,Distributor_4,0.005
T0162,2025-01-31,C082,Customer_56,P041,Product_8,Furniture,50.38,M014,Merchant_11,D09,Distributor_1,0.01
T0163,2025-01-22,C183,Customer_66,P017,Product_33,Clothing,462.48,M006,Merchant_38,D02,Distributor_3,0.007
T0164,2025-01-01,C192,Customer_64,P036,Product_2,Books,39.31,M046,Merchant_34,D10,Distributor_5,0.008
T0165,2025-01-10,C030,Customer_89,P012,Product_14,Clothing,209.14,M026,Merchant_43,D04,Distributor_10,0.007
T0166,2025-01-16,C018,Customer_147,P039,Product_9,Groceries,210.64,M021,Merchant_19,D07,Distributor_9,0.005
T0167,2025-01-16,C069,Customer_41,P001,Product_12,Furniture,21.29,M019,Merchant_21,D07,Distributor_9,0.01
T0168,2025-01-06,C048,Customer_152,P040,Product_37,Groceries,394.28,M009,Merchant_24,D03,Distributor_2,0.005
T0169,2025-01-08,C015,Customer_74,P023,Product_35,Furniture,469.41,M016,Merchant_39,D09,Distributor_2,0.01
T0170,2025-01-18,C074,Customer_129,P042,Product_32,Furniture,360.83,M008,Merchant_12,D04,Distributor_1,0.01
T0171,2025-01-12,C158,Customer_158,P028,Product_38,Groceries,446.92,M004,Merchant_22,D06,Distributor_4,0.005
T0172,2025-01-07,C055,Customer_14,P029,Product_31,Groceries,236.38,M012,Merchant_48,D06,Distributor_7,0.005
T0173,2025-01-13,C092,Customer_94,P011,Product_12,Clothing,440.99,M034,Merchant_50,D01,Distributor_5,0.007
T0174,2025-01-09,C061,Customer_122,P019,Product_32,Groceries,382.25,M021,Merchant_31,D09,Distributor_4,0.005
T0175,2025-01-28,C148,Customer_57,P045,Product_37,Furniture,73.41,M043,Merchant_50,D09,Distributor_9,0.01
T0176,2025-01-12,C024,Customer_110,P028,Product_1,Groceries,267.35,M039,Merchant_36,D06,Distributor_2,0.005
T0177,2025-01-29,C028,Customer_93,P003,Product_15,Clothing,58.63,M042,Merchant_38,D10,Distributor_2,0.007
T0178,2025-01-23,C013,Customer_50,P030,Product_41,Clothing,168.72,M030,Merchant_48,D07,Distributor_6,0.007
T0179,2025-01-04,C153,Customer_175,P027,Product_29,Furniture,85.6,M030,Merchant_17,D06,Distributor_3,0.01
T0180,2025-01-23,C156,Customer_51,P004,Product_2,Furniture,198.53,M042,Merchant_3,D02,Distributor_3,0.01
T0181,2025-01-09,C109,Customer_15,P002,Product_13,Groceries,371.01,M012,Merchant_35,D01,Distributor_3,0.005
T0182,2025-01-25,C139,Customer_197,P041,Product_36,Furniture,170.46,M005,Merchant_14,D02,Distributor_9,0.01
T0183,2025-01-05,C077,Customer_77,P007,Product_13,Books,94.94,M045,Merchant_11,D03,Distributor_2,0.008
T0184,2025-01-21,C173,Customer_88,P042,Product_46,Books,72.51,M011,Merchant_36,D07,Distributor_9,0.008
T0185,2025-01-23,C197,Customer_192,P006,Product_6,Books,277.0,M032,Merchant_49,D07,Distributor_4,0.008
T0186,2025-01-23,C094,Customer_53,P028,Product_3,Electronics,208.61,M042,Merchant_15,D01,Distributor_8,0.01
T0187,2025-01-28,C046,Customer_133,P048,Product_50,Clothing,364.35,M049,Merchant_10,D02,Distributor_8,0.007
T0188,2025-01-13,C082,Customer_189,P027,Product_37,Groceries,499.49,M045,Merchant_25,D04,Distributor_3,0.005
T0189,2025-01-06,C133,Customer_89,P027,Product_20,Books,42.3,M034,Merchant_18,D10,Distributor_2,0.008
T0190,2025-01-07,C050,Customer_162,P021,Product_32,Electronics,354.77,M001,Merchant_43,D08,Distributor_9,0.01
T0191,2025-01-11,C176,Customer_151,P034,Product_32,Electronics,351.95,M001,Merchant_14,D05,Distributor_6,0.01
T0192,2025-01-29,C092,Customer_198,P029,Product_41,Groceries,248.32,M031,Merchant_23,D08,Distributor_8,0.005
T0193,2025-01-20,C097,Customer_137,P025,Product_12,Books,249.71,M018,Merchant_42,D03,Distributor_3,0.008
T0194,2025-01-02,C059,Customer_140,P003,Product_12,Books,372.16,M021,Merchant_30,D10,Distributor_3,0.008
T0195,2025-01-24,C125,Customer_7,P001,Product_28,Electronics,92.52,M018,Merchant_27,D07,Distributor_7,0.01
T0196,2025-01-06,C189,Customer_33,P039,Product_26,Furniture,73.36,M033,Merchant_11,D09,Distributor_3,0.01
T0197,2025-01-08,C047,Customer_76,P004,Product_27,Furniture,300.4,M028,Merchant_13,D10,Distributor_7,0.01
T0198,2025-01-26,C080,Customer_109,P028,Product_10,Books,43.74,M032,Merchant_2,D06,Distributor_1,0.008
T0199,2025-01-13,C199,Customer_137,P049,Product_18,Groceries,465.51,M001,Merchant_31,D02,Distributor_3,0.005
T0200,2025-01-11,C102,Customer_150,P001,Product_25,Clothing,451.55,M026,Merchant_17,D08,Distributor_8,0.007
T0201,2025-01-09,C017,Customer_12,P040,Product_11,Books,292.15,M010,Merchant_29,D05,Distributor_4,0.008
T0202,2025-01-27,C113,Customer_41,P031,Product_11,Groceries,350.34,M036,Merchant_10,D07,Distributor_6,0.005
T0203,2025-01-18,C076,Customer_11,P021,Product_48,Clothing,379.71,M041,Merchant_36,D04,Distributor_3,0.007
T0204,2025-01-17,C135,Customer_67,P010,Product_41,Clothing,85.81,M028,Merchant_37,D05,Distributor_2,0.007
T0205,2025-01-25,C119,Customer_79,P006,Product_34,Electronics,428.15,M046,Merchant_5,D09,Distributor_8,0.01
T0206,2025-01-20,C114,Customer_162,P007,Product_13,Furniture,433.44,M028,Merchant_25,D06,Distributor_5,0.01
T0207,2025-01-23,C140,Customer_46,P018,Product_28,Furniture,284.19,M022,Merchant_32,D09,Distributor_2,0.01
T0208,2025-01-15,C029,Customer_57,P011,Product_15,Groceries,162.97,M028,Merchant_37,D05,Distributor_3,0.005
T0209,2025-01-22,C163,Customer_105,P009,Product_36,Clothing,224.92,M023,Merchant_21,D01,Distributor_2,0.007
T0210,2025-01-28,C080,Customer_125,P050,Product_13,Groceries,337.88,M047,Merchant_5,D04,Distributor_8,0.005
T0211,2025-01-05,C145,Customer_91,P042,Product_20,Clothing,355.82,M017,Merchant_47,D06,Distributor_8,0.007
T0212,2025-01-21,C076,Customer_44,P043,Product_6,Books,235.46,M037,Merchant_32,D07,Distributor_7,0.008
T0213,2025-01-10,C005,Customer_73,P049,Product_24,Books,316.76,M031,Merchant_48,D05,Distributor_6,0.008
T0214,2025-01-17,C086,Customer_23,P004,Product_19,Books,334.65,M050,Merchant_17,D03,Distributor_7,0.008
T0215,2025-01-24,C114,Customer_54,P036,Product_23,Clothing,364.73,M021,Merchant_13,D03,Distributor_4,0.007
T0216,2025-01-24,C072,Customer_4,P016,Product_12,Furniture,173.22,M029,Merchant_27,D03,Distributor_5,0.01
T0217,2025-01-22,C070,Customer_172,P028,Product_39,Furniture,128.67,M020,Merchant_43,D09,Distributor_4,0.01
T0218,2025-01-21,C046,Customer_169,P017,Product_40,Electronics,362.23,M024,Merchant_26,D01,Distributor_10,0.01
T0219,2025-01-20,C184,Customer_143,P029,Product_34,Electronics,345.86,M006,Merchant_42,D02,Distributor_9,0.01
T0220,2025-01-30,C195,Customer_94,P030,Product_11,Electronics,163.57,M035,Merchant_37,D06,Distributor_8,0.01
T0221,2025-01-10,C110,Customer_175,P014,Product_42,Furniture,457.16,M045,Merchant_39,D02,Distributor_4,0.01
T0222,2025-01-11,C184,Customer_119,P048,Product_12,Groceries,206.42,M019,Merchant_36,D04,Distributor_10,0.005
T0223,2025-01-19,C032,Customer_8,P031,Product_45,Clothing,166.84,M015,Merchant_50,D04,Distributor_5,0.007
T0224,2025-01-14,C058,Customer_93,P012,Product_17,Electronics,63.28,M048,Merchant_8,D02,Distributor_8,0.01
T0225,2025-01-14,C138,Customer_60,P046,Product_50,Groceries,251.1,M005,Merchant_19,D07,Distributor_4,0.005
T0226,2025-01-30,C165,Customer_46,P049,Product_19,Groceries,13.24,M035,Merchant_12,D08,Distributor_10,0.005
T0227,2025-01-18,C145,Customer_117,P042,Product_11,Electronics,249.82,M040,Merchant_49,D04,Distributor_6,0.01
T0228,2025-01-07,C175,Customer_107,P012,Product_15,Electronics,407.17,M014,Merchant_28,D08,Distributor_5,0.01
T0229,2025-01-22,C119,Customer_70,P049,Product_36,Clothing,108.34,M007,Merchant_30,D02,Distributor_10,0.007
